first_name,gender,birth_date,age,city,department,sector,seniority_level,years_experience,highest_education,employment_type,contract_type,technical_skills,language_proficiency,education_history,work_history,edu_value
عبد الغني,Female,1966-08-26,58,El Oued,Data Science & AI,Information Technology,Chief,36,Ingénieur d'État,Contract,Stage,"Critical Thinking, Adaptability, Communication, Problem Solving, Time Management, Project Management, Report Writing, Teamwork, Presentation Skills, Arabic/French Bilingual, Microsoft Office, Team Leadership","{'German': 'Fluent', 'Arabic': 'Basic', 'Tamazight': 'Basic', 'Spanish': 'Intermediate'}","[{'degree': ""Ingénieur d'État"", 'institution': 'University of Batna', 'field_of_study': 'électricien installateur installatrice', 'start_year': 1987, 'end_year': 1990, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'Weber S.A. High School', 'field_study': 'Literature', 'start_year': 1982, 'end_year': 1985, 'grade': 'Good'}]","[{'company': 'Raymond Gilbert SARL', 'job_title': 'Business Intelligence Analyst', 'department': 'Data Science & AI', 'sector': 'Information Technology', 'start_date': '2020-09-26', 'end_date': 'Present', 'location': 'Annaba', 'responsibilities': 'extend enterprise applications, revolutionize bleeding-edge experiences, unleash next-generation communities'}, {'company': 'Coste Rousset S.A.', 'job_title': 'Mobile App Developer', 'department': 'Mobile Development', 'sector': 'Information Technology', 'start_date': '2017-02-09', 'end_date': '2019-04-09', 'location': 'Laghouat', 'responsibilities': 'benchmark synergistic eyeballs, repurpose collaborative platforms'}, {'company': 'François Morvan SARL', 'job_title': 'General Director', 'department': 'General Management', 'sector': 'Fisheries', 'start_date': '2012-02-27', 'end_date': '2016-04-10', 'location': 'Blida', 'responsibilities': 'aggregate B2B interfaces, grow magnetic bandwidth'}, {'company': 'Bertin', 'job_title': 'Team Leader', 'department': 'Export Operations', 'sector': 'Agriculture', 'start_date': '2007-02-14', 'end_date': '2011-11-06', 'location': 'Tamanrasset', 'responsibilities': 'orchestrate web-enabled vortals, benchmark robust communities'}, {'company': 'François', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Renewable Energy', 'start_date': '2004-05-01', 'end_date': '2006-02-23', 'location': 'Biskra', 'responsibilities': 'reinvent virtual channels, benchmark out-of-the-box channels'}, {'company': 'Fontaine', 'job_title': 'Environmental Compliance Officer', 'department': 'HSE (Health, Safety, Environment)', 'sector': 'Energy & Petroleum', 'start_date': '2001-12-05', 'end_date': '2003-03-03', 'location': 'Naama', 'responsibilities': 'leverage intuitive portals, target real-time e-tailers'}]",19
جوين,Male,1980-10-25,44,Chlef,General Management,Telecommunications,Junior,22,Licence,Full-Time,CDI,"Microsoft Office, Time Management, Teamwork, Team Leadership, Report Writing, Presentation Skills, Project Management, Conflict Resolution, Adaptability, Communication, Negotiation, Strategic Planning","{'Arabic': 'Basic', 'French': 'Intermediate'}","[{'degree': 'Licence', 'institution': 'University of Oran', 'field_of_study': 'architecte réseaux', 'start_year': 1999, 'end_year': 2002, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'Marie et Fils High School', 'field_study': 'Technical', 'start_year': 1996, 'end_year': 1999, 'grade': 'Excellent'}]","[{'company': 'Mendès', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'Telecommunications', 'start_date': '2021-01-16', 'end_date': 'Present', 'location': 'Sétif', 'responsibilities': 'empower killer channels, matrix seamless functionalities, innovate proactive convergence'}, {'company': 'Bodin', 'job_title': 'Department Director', 'department': 'Islamic Finance', 'sector': 'Banking & Finance', 'start_date': '2016-05-04', 'end_date': '2020-07-16', 'location': 'Chlef', 'responsibilities': 'whiteboard cross-platform ROI, strategize end-to-end web services'}, {'company': 'Monnier', 'job_title': 'Operations Manager', 'department': 'Operations', 'sector': 'Tourism & Hospitality', 'start_date': '2013-05-14', 'end_date': '2015-09-26', 'location': 'Sétif', 'responsibilities': 're-intermediate innovative markets, transition vertical functionalities'}, {'company': 'Michaud et Fils', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Construction', 'start_date': '2010-09-01', 'end_date': '2012-09-12', 'location': 'In Salah', 'responsibilities': 'leverage ubiquitous e-commerce, engage dot-com communities'}, {'company': 'Fernandez', 'job_title': 'General Director', 'department': 'General Management', 'sector': 'Fisheries', 'start_date': '2007-11-27', 'end_date': '2009-08-28', 'location': 'Skikda', 'responsibilities': 'streamline real-time functionalities, unleash sticky portals'}, {'company': 'Rémy', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Media & Entertainment', 'start_date': '2004-05-10', 'end_date': '2006-11-25', 'location': 'Tébessa', 'responsibilities': 'harness innovative eyeballs, target bleeding-edge relationships'}]",15
ريناد,Female,1983-09-16,41,Aïn Témouchent,General Management,E-Commerce,Mid,19,Licence,Internship,Alternance,"Presentation Skills, Adaptability, Arabic/French Bilingual, Time Management, Conflict Resolution, Microsoft Office, Problem Solving, Teamwork, Report Writing, Communication, Critical Thinking, Team Leadership","{'Tamazight': 'Intermediate', 'French': 'Intermediate', 'English': 'Intermediate', 'German': 'Basic'}","[{'degree': 'Licence', 'institution': 'University of Bejaia', 'field_of_study': 'électronicien automobile', 'start_year': 2002, 'end_year': 2005, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'Grondin High School', 'field_study': 'Literature', 'start_year': 1999, 'end_year': 2002, 'grade': 'Excellent'}]","[{'company': 'Guérin', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'E-Commerce', 'start_date': '2007-02-15', 'end_date': 'Present', 'location': 'Tindouf', 'responsibilities': 'revolutionize distributed e-business, reinvent impactful communities, repurpose cross-media convergence'}]",15
آيات,Female,1979-10-23,45,Béjaïa,Export Operations,Agriculture,Mid,17,Doctorat,Part-Time,Freelance,"Negotiation, Project Management, Arabic/French Bilingual, Teamwork, Microsoft Office, Problem Solving, Team Leadership, Time Management, Conflict Resolution, Report Writing, Communication, Adaptability","{'French': 'Basic', 'German': 'Intermediate'}","[{'degree': 'Doctorat', 'institution': 'University of Algiers', 'field_of_study': 'ingénieur recherche et développement en agroalimentaire', 'start_year': 2003, 'end_year': 2008, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Jean High School', 'field_study': 'Mathematics', 'start_year': 1995, 'end_year': 1998, 'grade': 'Good'}]","[{'company': 'Langlois S.A.R.L.', 'job_title': 'Administrative Manager', 'department': 'Export Operations', 'sector': 'Agriculture', 'start_date': '2012-08-25', 'end_date': 'Present', 'location': 'Constantine', 'responsibilities': 'target rich e-markets, transform granular communities, disintermediate bricks-and-clicks synergies'}, {'company': 'Blin François S.A.', 'job_title': 'Facilities Manager', 'department': 'Operations', 'sector': 'Pharmaceuticals', 'start_date': '2008-04-01', 'end_date': '2011-06-11', 'location': 'Batna', 'responsibilities': 'generate seamless web services, syndicate ubiquitous platforms'}, {'company': 'Duval', 'job_title': 'Operations Manager', 'department': 'Operations', 'sector': 'Aerospace & Defense', 'start_date': '2006-11-04', 'end_date': '2007-12-23', 'location': ""M'sila"", 'responsibilities': 'maximize sticky web services, unleash world-class solutions'}]",20
طائع,Female,1971-11-11,53,M'sila,General Management,Retail,Lead,31,Licence,Full-Time,Stage,"Negotiation, Presentation Skills, Conflict Resolution, Time Management, Project Management, Report Writing, Teamwork, Problem Solving, Critical Thinking, Arabic/French Bilingual, Communication, Team Leadership","{'Spanish': 'Basic', 'Arabic': 'Intermediate', 'French': 'Fluent', 'Tamazight': 'Native'}","[{'degree': 'Licence', 'institution': 'University of Djelfa', 'field_of_study': 'libraire', 'start_year': 1990, 'end_year': 1993, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Marques Giraud S.A.R.L. High School', 'field_study': 'Mathematics', 'start_year': 1987, 'end_year': 1990, 'grade': 'Good'}]","[{'company': 'Rossi', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Retail', 'start_date': '2002-11-14', 'end_date': 'Present', 'location': ""M'sila"", 'responsibilities': 'aggregate turn-key applications, harness cutting-edge synergies, matrix B2C ROI'}]",15
حنبل,Male,1970-08-22,54,Tébessa,Mobile Development,Information Technology,Junior,30,Master,Full-Time,Alternance,"Team Leadership, Arabic/French Bilingual, Adaptability, Time Management, Report Writing, Communication, Microsoft Office, Presentation Skills, Project Management, Critical Thinking, Problem Solving, Negotiation","{'English': 'Basic', 'German': 'Native', 'Arabic': 'Native'}","[{'degree': 'Master', 'institution': 'University of Chlef', 'field_of_study': ""technicien d'analyses biomédicales"", 'start_year': 1992, 'end_year': 1994, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Munoz High School', 'field_study': 'Technical', 'start_year': 1986, 'end_year': 1989, 'grade': 'Excellent'}]","[{'company': 'Henry Turpin et Fils', 'job_title': 'Mobile App Developer', 'department': 'Mobile Development', 'sector': 'Information Technology', 'start_date': '2022-10-04', 'end_date': 'Present', 'location': 'Tamanrasset', 'responsibilities': 'implement synergistic communities, benchmark sticky e-markets, engage front-end initiatives'}, {'company': 'Leclerc', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Renewable Energy', 'start_date': '2017-04-21', 'end_date': '2021-10-11', 'location': 'Blida', 'responsibilities': 'incentivize robust supply-chains, reinvent value-added info-mediaries'}, {'company': 'Fleury SA', 'job_title': 'Administrative Manager', 'department': 'Medical Research', 'sector': 'Healthcare', 'start_date': '2013-07-14', 'end_date': '2016-03-12', 'location': 'Constantine', 'responsibilities': 'enable granular experiences, evolve clicks-and-mortar e-commerce'}, {'company': 'Ferreira', 'job_title': 'Supply Chain Manager', 'department': 'Operations', 'sector': 'Retail', 'start_date': '2008-11-24', 'end_date': '2012-07-28', 'location': 'Oran', 'responsibilities': 'maximize sticky schemas, incubate proactive e-markets'}, {'company': 'Guillet', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Mining', 'start_date': '2006-12-28', 'end_date': '2007-12-16', 'location': 'Tlemcen', 'responsibilities': 'revolutionize mission-critical supply-chains, target virtual web services'}, {'company': 'Dubois', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Telecommunications', 'start_date': '2001-10-16', 'end_date': '2005-05-12', 'location': 'Tébessa', 'responsibilities': 'synergize e-business info-mediaries, repurpose e-business communities'}]",17
عذب,Male,1964-06-15,60,Skikda,General Management,Tourism & Hospitality,Lead,38,Ingénieur d'État,Contract,CDD,"Microsoft Office, Communication, Arabic/French Bilingual, Team Leadership, Problem Solving, Report Writing, Teamwork, Time Management, Adaptability, Conflict Resolution, Strategic Planning, Critical Thinking","{'German': 'Basic', 'French': 'Native'}","[{'degree': ""Ingénieur d'État"", 'institution': 'University of Mostaganem', 'field_of_study': 'régleur', 'start_year': 1985, 'end_year': 1988, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Lopez Cordier S.A.S. High School', 'field_study': 'Technical', 'start_year': 1980, 'end_year': 1983, 'grade': 'Excellent'}]","[{'company': 'Antoine Bourgeois SA', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Tourism & Hospitality', 'start_date': '1995-09-19', 'end_date': 'Present', 'location': 'Biskra', 'responsibilities': 'drive synergistic systems, grow cross-platform relationships, mesh innovative deliverables'}, {'company': 'Benard SARL', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Fisheries', 'start_date': '1993-05-08', 'end_date': '1994-09-16', 'location': ""M'sila"", 'responsibilities': 'matrix open-source eyeballs, e-enable ubiquitous applications'}, {'company': 'Faure', 'job_title': 'Department Director', 'department': 'General Management', 'sector': 'Aerospace & Defense', 'start_date': '1988-07-21', 'end_date': '1992-01-04', 'location': 'Biskra', 'responsibilities': 're-intermediate 24/7 networks, facilitate proactive info-mediaries'}, {'company': 'Dufour Boulanger S.A.R.L.', 'job_title': 'Supply Chain Manager', 'department': 'Operations', 'sector': 'Retail', 'start_date': '1985-03-10', 'end_date': '1987-01-16', 'location': 'Tizi Ouzou', 'responsibilities': 'expedite killer niches, redefine clicks-and-mortar e-markets'}, {'company': 'Bigot', 'job_title': 'Department Director', 'department': 'International Relations', 'sector': 'Education', 'start_date': '1983-02-16', 'end_date': '1984-05-08', 'location': 'Constantine', 'responsibilities': 'iterate best-of-breed eyeballs, embrace killer partnerships'}]",19
غطفان,Female,1983-06-28,41,Illizi,General Management,E-Commerce,Junior,17,Master,Internship,Stage,"Project Management, Team Leadership, Presentation Skills, Report Writing, Adaptability, Microsoft Office, Communication, Teamwork, Negotiation, Problem Solving, Time Management, Arabic/French Bilingual","{'German': 'Native', 'Spanish': 'Fluent'}","[{'degree': 'Master', 'institution': 'University of Setif', 'field_of_study': 'guide-conférencier', 'start_year': 2005, 'end_year': 2007, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Barthelemy High School', 'field_study': 'Literature', 'start_year': 1999, 'end_year': 2002, 'grade': 'Very Good'}]","[{'company': 'Vidal Bodin S.A.', 'job_title': 'Project Manager', 'department': 'General Management', 'sector': 'E-Commerce', 'start_date': '2024-07-21', 'end_date': 'Present', 'location': ""M'sila"", 'responsibilities': 'incubate value-added applications, productize visionary networks, innovate back-end e-business'}, {'company': 'Hamel', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'Mining', 'start_date': '2019-12-14', 'end_date': '2023-12-10', 'location': 'Tindouf', 'responsibilities': 'synergize revolutionary interfaces, morph compelling action-items'}, {'company': 'Berthelot S.A.', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Mining', 'start_date': '2016-03-09', 'end_date': '2018-03-18', 'location': ""M'sila"", 'responsibilities': 'grow granular convergence, embrace collaborative networks'}]",17
كرم,Female,1972-02-11,53,Blida,General Management,Pharmaceuticals,Lead,31,Ingénieur d'État,Full-Time,Freelance,"Problem Solving, Critical Thinking, Time Management, Microsoft Office, Project Management, Arabic/French Bilingual, Report Writing, Presentation Skills, Negotiation, Team Leadership, Teamwork, Adaptability","{'Tamazight': 'Basic', 'French': 'Basic'}","[{'degree': ""Ingénieur d'État"", 'institution': 'University of Mostaganem', 'field_of_study': ""conseiller d'élevage"", 'start_year': 1992, 'end_year': 1995, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Jacquot High School', 'field_study': 'Technical', 'start_year': 1987, 'end_year': 1990, 'grade': 'Very Good'}]","[{'company': 'Martineau', 'job_title': 'Department Director', 'department': 'General Management', 'sector': 'Pharmaceuticals', 'start_date': '1998-08-22', 'end_date': 'Present', 'location': 'Laghouat', 'responsibilities': 'enable vertical interfaces, expedite world-class interfaces, mesh end-to-end technologies'}, {'company': 'Rolland', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Transport & Logistics', 'start_date': '1995-04-07', 'end_date': '1997-02-10', 'location': 'Jijel', 'responsibilities': 'deploy plug-and-play infrastructures, integrate bricks-and-clicks e-markets'}, {'company': 'Charpentier Lecoq S.A.R.L.', 'job_title': 'Administrative Manager', 'department': 'Medical Equipment Maintenance', 'sector': 'Healthcare', 'start_date': '1993-04-17', 'end_date': '1994-10-22', 'location': 'Skikda', 'responsibilities': 'productize intuitive deliverables, repurpose compelling markets'}]",19
دهمان,Male,1996-01-14,29,M'sila,Operations,Renewable Energy,Mid,1,Doctorat,Full-Time,Alternance,"Presentation Skills, Microsoft Office, Conflict Resolution, Teamwork, Time Management","{'Spanish': 'Fluent', 'English': 'Intermediate', 'German': 'Intermediate'}","[{'degree': 'Doctorat', 'institution': 'University of Constantine', 'field_of_study': 'conseiller agricole', 'start_year': 2019, 'end_year': 2024, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'Tessier High School', 'field_study': 'Literature', 'start_year': 2011, 'end_year': 2014, 'grade': 'Average'}]","[{'company': 'Thierry S.A.R.L.', 'job_title': 'Operations Manager', 'department': 'Operations', 'sector': 'Renewable Energy', 'start_date': '2024-07-20', 'end_date': 'Present', 'location': 'Saïda', 'responsibilities': 'target global e-commerce, redefine intuitive ROI, matrix plug-and-play niches'}]",20
جالا,Female,1964-08-18,60,Jijel,General Management,Public Sector,Chief,38,Licence,Internship,CDD,"Project Management, Problem Solving, Negotiation, Communication, Microsoft Office, Teamwork, Conflict Resolution, Team Leadership, Presentation Skills, Critical Thinking, Adaptability, Time Management","{'German': 'Intermediate', 'English': 'Basic', 'Arabic': 'Intermediate', 'French': 'Fluent'}","[{'degree': 'Licence', 'institution': 'University of Boumerdes', 'field_of_study': 'ingénieur méthodes mécaniques', 'start_year': 1983, 'end_year': 1986, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'Wagner Perret S.A.R.L. High School', 'field_study': 'Technical', 'start_year': 1980, 'end_year': 1983, 'grade': 'Very Good'}]","[{'company': 'Girard', 'job_title': 'Operations Manager', 'department': 'General Management', 'sector': 'Public Sector', 'start_date': '2014-05-22', 'end_date': 'Present', 'location': 'Tlemcen', 'responsibilities': 'revolutionize enterprise web-readiness, transition transparent paradigms, e-enable cross-media functionalities'}, {'company': 'Ollivier', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Mining', 'start_date': '2010-07-13', 'end_date': '2013-05-11', 'location': 'Béjaïa', 'responsibilities': 'synthesize bleeding-edge channels, facilitate value-added systems'}, {'company': 'Toussaint S.A.', 'job_title': 'General Director', 'department': 'FinTech Innovation', 'sector': 'Banking & Finance', 'start_date': '2006-04-11', 'end_date': '2009-07-05', 'location': 'El Tarf', 'responsibilities': 'brand robust users, enable distributed e-tailers'}, {'company': 'Bonnet', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Manufacturing', 'start_date': '2001-03-04', 'end_date': '2005-01-19', 'location': 'El Tarf', 'responsibilities': 'disintermediate plug-and-play channels, re-contextualize next-generation e-markets'}, {'company': 'Lemaire', 'job_title': 'Logistics Coordinator', 'department': 'Operations', 'sector': 'Construction', 'start_date': '1999-06-15', 'end_date': '2000-02-24', 'location': 'Mostaganem', 'responsibilities': 'visualize web-enabled info-mediaries, cultivate turn-key bandwidth'}]",15
عادل,Female,1967-02-07,58,El Oued,Operations,Renewable Energy,Mid,34,Master,Full-Time,Alternance,"Report Writing, Presentation Skills, Time Management, Critical Thinking, Problem Solving, Team Leadership, Project Management, Conflict Resolution, Adaptability, Communication, Teamwork, Microsoft Office","{'Spanish': 'Intermediate', 'German': 'Fluent'}","[{'degree': 'Master', 'institution': 'University of Oran', 'field_of_study': 'électricien installateur installatrice', 'start_year': 1988, 'end_year': 1990, 'grade': 'Good'}, {'degree': 'Bac', 'institution': 'Michaud High School', 'field_study': 'Technical', 'start_year': 1982, 'end_year': 1985, 'grade': 'Excellent'}]","[{'company': 'Ferreira S.A.R.L.', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'Renewable Energy', 'start_date': '2010-09-02', 'end_date': 'Present', 'location': 'Algiers', 'responsibilities': 'synthesize scalable synergies, transition end-to-end models, empower mission-critical eyeballs'}, {'company': 'Dijoux', 'job_title': 'Administrative Manager', 'department': 'Pediatric Care', 'sector': 'Healthcare', 'start_date': '2006-07-22', 'end_date': '2009-03-06', 'location': 'Naama', 'responsibilities': 'whiteboard leading-edge experiences, whiteboard enterprise deliverables'}, {'company': 'Girard S.A.', 'job_title': 'Team Leader', 'department': 'Irrigation Technology', 'sector': 'Agriculture', 'start_date': '2002-03-06', 'end_date': '2005-03-18', 'location': 'Skikda', 'responsibilities': 'deliver bleeding-edge communities, incubate real-time bandwidth'}, {'company': 'Bernard', 'job_title': 'Mobile QA Tester', 'department': 'Mobile Development', 'sector': 'Information Technology', 'start_date': '2000-02-07', 'end_date': '2001-07-23', 'location': 'Jijel', 'responsibilities': 'unleash world-class ROI, expedite open-source interfaces'}, {'company': 'De Sousa', 'job_title': 'Pipeline Engineer', 'department': 'Pipeline Management', 'sector': 'Energy & Petroleum', 'start_date': '1996-06-19', 'end_date': '1999-11-25', 'location': 'Timimoun', 'responsibilities': 'enhance best-of-breed web-readiness, evolve bleeding-edge synergies'}, {'company': 'Bonnet', 'job_title': 'Team Leader', 'department': 'Pharmaceutical Development', 'sector': 'Healthcare', 'start_date': '1991-05-08', 'end_date': '1995-11-13', 'location': 'Tindouf', 'responsibilities': 'synthesize world-class partnerships, whiteboard bricks-and-clicks e-markets'}]",17
شيّق,Female,1992-05-15,32,Annaba,Research & Development,Education,Senior,4,Doctorat,Internship,CDD,"Team Leadership, Problem Solving, Teamwork, Microsoft Office, Time Management, Project Management, Conflict Resolution","{'Spanish': 'Intermediate', 'Tamazight': 'Native', 'French': 'Native'}","[{'degree': 'Doctorat', 'institution': 'University of Tlemcen', 'field_of_study': 'chargé de clientèle banque', 'start_year': 2016, 'end_year': 2021, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'Hubert High School', 'field_study': 'Mathematics', 'start_year': 2008, 'end_year': 2011, 'grade': 'Average'}]","[{'company': 'Verdier', 'job_title': 'Project Manager', 'department': 'Research & Development', 'sector': 'Education', 'start_date': '2024-11-03', 'end_date': 'Present', 'location': 'Ouargla', 'responsibilities': 'repurpose out-of-the-box models, engage visionary deliverables, re-intermediate cutting-edge infrastructures'}, {'company': 'Gauthier SA', 'job_title': 'Department Director', 'department': 'Vocational Training', 'sector': 'Education', 'start_date': '2020-11-19', 'end_date': '2023-09-19', 'location': 'Timimoun', 'responsibilities': 'transition interactive supply-chains, re-intermediate turn-key e-tailers'}]",20
قدري,Male,1990-11-23,34,Béchar,General Management,Telecommunications,Senior,12,Licence,Contract,Stage,"Team Leadership, Problem Solving, Arabic/French Bilingual, Strategic Planning, Critical Thinking, Microsoft Office, Teamwork, Presentation Skills, Project Management, Report Writing, Conflict Resolution","{'English': 'Native', 'French': 'Fluent', 'Tamazight': 'Fluent'}","[{'degree': 'Licence', 'institution': 'University of Tiaret', 'field_of_study': 'statisticien industriel industrielle', 'start_year': 2009, 'end_year': 2012, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'Lemaire High School', 'field_study': 'Technical', 'start_year': 2006, 'end_year': 2009, 'grade': 'Average'}]","[{'company': 'Hamel', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Telecommunications', 'start_date': '2022-07-09', 'end_date': 'Present', 'location': 'Tiaret', 'responsibilities': 'generate mission-critical mindshare, generate turn-key vortals, facilitate cutting-edge web-readiness'}]",15
هاني,Male,1994-10-12,30,Illizi,Operations,Mining,Senior,6,Master,Contract,Freelance,"Report Writing, Teamwork, Communication, Problem Solving, Negotiation, Microsoft Office, Arabic/French Bilingual, Project Management","{'Tamazight': 'Fluent', 'Spanish': 'Fluent'}","[{'degree': 'Master', 'institution': 'University of Djelfa', 'field_of_study': ""psychologue de l'éducation nationale spécialité éducation, développement et conseil en orientation scolaire et professionnelle"", 'start_year': 2016, 'end_year': 2018, 'grade': 'Excellent'}, {'degree': 'Bac', 'institution': 'Rémy High School', 'field_study': 'Mathematics', 'start_year': 2010, 'end_year': 2013, 'grade': 'Good'}]","[{'company': 'Letellier SA', 'job_title': 'Supply Chain Manager', 'department': 'Operations', 'sector': 'Mining', 'start_date': '2022-09-24', 'end_date': 'Present', 'location': 'Timimoun', 'responsibilities': 'grow dot-com e-services, transition integrated networks, repurpose open-source relationships'}, {'company': 'Hubert S.A.R.L.', 'job_title': 'Department Director', 'department': 'General Management', 'sector': 'Mining', 'start_date': '2018-10-06', 'end_date': '2021-07-19', 'location': 'Illizi', 'responsibilities': 'envisioneer viral info-mediaries, incentivize B2B e-markets'}]",17
عطاء,Male,1996-10-10,28,Djanet,General Management,Transport & Logistics,Senior,6,Licence,Contract,Stage,"Arabic/French Bilingual, Strategic Planning, Communication, Report Writing, Microsoft Office, Team Leadership, Conflict Resolution, Teamwork","{'Tamazight': 'Fluent', 'French': 'Native', 'Arabic': 'Intermediate', 'German': 'Native'}","[{'degree': 'Licence', 'institution': 'University of Algiers', 'field_of_study': 'chargé de recherche et développement déchets', 'start_year': 2015, 'end_year': 2018, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'Maillard High School', 'field_study': 'Mathematics', 'start_year': 2012, 'end_year': 2015, 'grade': 'Good'}]","[{'company': 'Petitjean', 'job_title': 'Administrative Manager', 'department': 'General Management', 'sector': 'Transport & Logistics', 'start_date': '2020-12-19', 'end_date': 'Present', 'location': 'Tiaret', 'responsibilities': 'facilitate integrated communities, incentivize end-to-end architectures, engineer clicks-and-mortar methodologies'}, {'company': 'Dupuis Peron S.A.S.', 'job_title': 'Team Leader', 'department': 'General Management', 'sector': 'Construction', 'start_date': '2018-06-04', 'end_date': '2019-03-11', 'location': 'Constantine', 'responsibilities': 'innovate viral schemas, syndicate extensible e-tailers'}]",15
شهاب,Male,1996-09-21,28,Biskra,Cloud Infrastructure,Information Technology,Senior,0,Doctorat,Full-Time,Freelance,"Microsoft Office, Teamwork, Time Management, Critical Thinking, Communication","{'German': 'Basic', 'Tamazight': 'Fluent'}","[{'degree': 'Doctorat', 'institution': 'University of Mostaganem', 'field_of_study': 'gestionnaire de patrimoine', 'start_year': 2020, 'end_year': 2025, 'grade': 'Very Good'}, {'degree': 'Bac', 'institution': 'Laroche High School', 'field_study': 'Science', 'start_year': 2012, 'end_year': 2015, 'grade': 'Excellent'}]","[{'company': 'Leroy', 'job_title': 'Systems Administrator', 'department': 'Cloud Infrastructure', 'sector': 'Information Technology', 'start_date': '2024-03-02', 'end_date': 'Present', 'location': 'Oran', 'responsibilities': 'enhance visionary vortals, productize collaborative partnerships, cultivate seamless web services'}]",20
طامح,Female,1974-07-16,50,Béjaïa,General Management,Pharmaceuticals,Lead,26,Master,Contract,Alternance,"Report Writing, Negotiation, Strategic Planning, Problem Solving, Conflict Resolution, Presentation Skills, Critical Thinking, Teamwork, Project Management, Microsoft Office, Arabic/French Bilingual, Communication","{'English': 'Basic', 'German': 'Intermediate', 'Tamazight': 'Native', 'Arabic': 'Intermediate'}","[{'degree': 'Master', 'institution': 'University of Boumerdes', 'field_of_study': 'régisseur de spectacles', 'start_year': 1996, 'end_year': 1998, 'grade': 'Average'}, {'degree': 'Bac', 'institution': 'Regnier S.A.S. High School', 'field_study': 'Mathematics', 'start_year': 1990, 'end_year': 1993, 'grade': 'Excellent'}]","[{'company': 'Millet', 'job_title': 'Department Director', 'department': 'General Management', 'sector': 'Pharmaceuticals', 'start_date': '2006-06-04', 'end_date': 'Present', 'location': 'Algiers', 'responsibilities': 'cultivate web-enabled users, integrate customized users, generate innovative synergies'}, {'company': 'Didier', 'job_title': 'Team Leader', 'department': 'Clinical Operations', 'sector': 'Healthcare', 'start_date': '2001-11-08', 'end_date': '2005-08-07', 'location': 'Timimoun', 'responsibilities': 'engineer magnetic systems, brand revolutionary e-business'}, {'company': 'Da Costa', 'job_title': 'Operations Manager', 'department': 'Accounting & Auditing', 'sector': 'Banking & Finance', 'start_date': '1999-12-22', 'end_date': '2000-06-08', 'location': 'Tiaret', 'responsibilities': 'reinvent user-centric supply-chains, architect mission-critical architectures'}, {'company': 'Andre', 'job_title': 'Production Supervisor', 'department': 'Operations', 'sector': 'Media & Entertainment', 'start_date': '1996-12-04', 'end_date': '1998-02-07', 'location': 'Tlemcen', 'responsibilities': 're-contextualize cutting-edge eyeballs, facilitate dot-com metrics'}]",17
